node_id,lat,sd_lat,lon,sd_lon
326039,38.93482762,1.763487115e-05,-74.94470428,1.175763002e-05
326543,38.93574733,3.596315773e-05,-74.94789225,3.247362153e-05
326572,38.93653912,1.760448032e-05,-74.94452705,1.537211264e-05
32660E,38.93913200,0.000000000e+00,-74.94861600,0.000000000e+00
326710,38.93664800,0.000000000e+00,-74.94682400,0.000000000e+00
3274F4,38.93748400,0.000000000e+00,-74.94556800,0.000000000e+00
327749,38.93670920,2.043787442e-05,-74.94568153,1.588002762e-05
3282EC,38.93398299,1.859248715e-05,-74.94685985,1.555407577e-05
32841A,38.93486483,2.215753963e-05,-74.94683096,1.785199287e-05
328CCF,38.93390821,2.344974749e-05,-74.94454190,1.924007372e-05
328D0C,38.93758970,2.142360033e-05,-74.94450818,1.254408531e-05
328FAF,38.93848901,1.969737467e-05,-74.94680136,1.612835966e-05
32909D,38.93398800,0.000000000e+00,-74.94568000,0.000000000e+00
339BB0,38.93846697,2.449384896e-05,-74.94804900,2.040184204e-05
339CAE,38.93482147,3.459700599e-05,-74.94799635,2.897379178e-05
33D76B,38.93393539,3.005669421e-05,-74.94797955,3.569426234e-05
33DA3C,38.93574435,3.356930885e-05,-74.94683717,5.281621308e-05
3648E1,38.93481991,1.909380479e-05,-74.94571128,2.072671371e-05
3765DD,38.93576936,2.175001832e-05,-74.94447656,2.544474988e-05
377E5F,38.93733948,2.636019362e-05,-74.94784792,2.438344526e-05
37824B,38.93575407,2.263653462e-05,-74.94570466,2.460170773e-05
379B89,38.93657522,2.566097334e-05,-74.94797767,3.055592279e-05
3B3B89,38.93763708,2.522933945e-05,-74.94689194,2.959077914e-05
